UserID,PlaceID,Rating
0,5,4
15,0,5
0,0,4
1,1,4
2,2,4
3,3,4
1,4,4
6,5,4
8,6,4
1,7,4
7,8,4
10,9,4
2,10,4
12,11,3
17,12,4
7,13,4
2,14,4
4,15,4
1,16,4
12,17,4
11,18,5
3,19,4
7,20,4
16,21,4
20,22,3
18,23,4
4,24,4
6,25,4
20,26,4
18,27,3
3,28,4
19,29,4
15,30,4
21,31,4
25,32,4
23,33,4
24,34,5
17,35,4
19,36,3
20,37,4
21,38,4
22,39,4
22,40,4
18,41,5
23,42,4
21,43,4
31,44,5
11,45,4
44,46,3
55,47,4
33,48,3
13,49,4
24,50,4
23,51,3
17,52,3
25,53,3
30,54,4
31,55,4
29,56,4
24,57,4
30,58,4
29,59,4
31,60,3
26,61,4
27,62,4
27,63,4
5,64,4
16,65,4
26,66,4
27,67,3
25,68,4
32,69,4
9,70,3
5,71,4
8,72,4
28,73,3
29,74,5
29,75,4
30,76,4
31,77,4
9,78,4
11,79,4
8,80,4
9,81,4
32,82,4
32,83,4
26,84,4
28,85,4
6,86,4
16,87,4
9,88,4
10,89,4
11,90,4
7,91,4
12,92,4
36,93,4
15,94,4
24,95,4
7,96,4
10,97,4
6,98,4
4,99,4
3,100,3
1,101,4
2,102,4
21,103,4
5,104,4
11,105,4
16,106,4
35,107,4
34,108,4
33,109,4
32,110,4
12,111,4
25,112,4
10,113,4
51,114,4
5,115,4
53,116,4
54,117,4
60,118,4
67,119,4
6,120,4
65,121,4
13,122,4
33,123,4
52,124,4
58,125,4
59,126,5
59,127,4
58,128,4
8,129,4
19,130,4
49,131,4
10,132,4
51,133,4
56,134,4
57,135,4
14,136,4
13,137,3
32,138,4
52,139,4
53,140,4
57,141,3
54,142,3
59,143,3
60,145,4
14,146,4
36,147,3
60,148,3
58,149,3
59,150,4
38,151,3
15,152,3
33,153,3
60,154,3
59,155,3
40,156,2
57,157,4
15,158,4
57,159,4
48,160,5
60,161,4
58,162,4
35,163,4
32,164,4
15,165,3
57,166,3
39,167,3
38,168,4
39,169,4
36,170,3
34,171,4
37,172,4
40,173,4
56,174,3
55,175,3
54,176,3
38,177,3
15,178,4
37,179,4
48,180,4
49,181,3
47,182,3
45,183,4
4,184,3
7,185,4
23,186,5
46,187,4
39,188,5
40,189,4
36,190,4
33,191,4
14,192,3
36,193,4
37,194,4
38,195,4
42,196,4
33,197,4
46,198,4
47,199,4
48,200,4
14,201,3
39,202,3
35,203,3
36,204,4
37,205,3
38,206,3
47,207,3
46,208,3
13,209,3
44,210,2
43,211,4
44,212,4
43,213,4
45,214,5
20,215,4
2,216,4
60,217,4
32,219,3
60,221,3
3,222,4
29,223,4
17,224,3
9,225,4
19,226,4
54,227,4
27,228,3
49,229,3
50,230,3
40,231,3
12,232,4
30,233,4
31,234,4
33,235,3
50,236,3
2,237,4
32,238,3
52,239,4
54,240,5
50,241,4
51,242,5
55,243,4
53,244,4
42,245,4
43,246,3
13,247,4
50,248,4
46,249,4
41,250,4
42,251,4
52,252,4
52,253,4
51,254,4
41,255,3
12,256,4
41,257,4
51,258,3
47,259,4
46,260,4
12,261,4
43,262,4
45,263,3
41,264,2
41,265,5
1,266,3
48,267,3
43,268,3
42,269,3
49,270,3
2,271,3
41,272,3
3,273,3
13,274,2
61,18,5
61,45,4
61,79,4
61,90,4
61,105,4
68,11,3
68,17,4
68,92,4
68,111,4
68,256,4
68,261,4
68,232,4
65,49,4
65,122,4
65,137,4
65,121,3
65,10,3
65,98,4
65,102,2
69,192,4
69,201,4
69,137,3
69,136,3
71,30,4
71,94,4
71,152,3
71,158,4
71,13,3
71,12,4
66,21,4
66,65,5
66,87,4
66,106,3
66,112,4
66,121,4
66,117,4
66,181,4
66,2,4
72,12,4
72,35,4
72,52,3
72,224,3
70,18,4
64,29,4
64,36,3
64,130,4
64,11,4
63,26,3
63,22,4
63,37,4
63,10,4
62,32,4
62,53,3
62,68,4
62,112,4
67,44,3
67,55,2
67,60,4
69,77,4
69,210,4
69,212,3
69,46,3
70,36,4
70,163,4
70,47,4
71,0,4
71,0,4
68,17,4
68,184,
69,0,4
70,3,4
69,6,4
70,5,4
70,5,4
